dish,file,source_post,dimensions
kaddu ki kheer,kaddu-ki-kheer-2--ig-DNszpRr3nkW.jpg,https://www.instagram.com/p/DNszpRr3nkW/,1080x1080
kheema biryani,kheema-biryani--ig-DIoXd7gJvpM.jpg,https://www.instagram.com/p/DIoXd7gJvpM/,1080x1350
khubani ka meetha,khubani-ka-meetha--ig-DNTDy1rupl-.jpg,https://www.instagram.com/p/DNTDy1rupl-/,1080x1080
khubani ka meetha,khubani-ka-meetha-2--ig-C8BAfkxtfoI.jpg,https://www.instagram.com/p/C8BAfkxtfoI/,1080x1080
mixed tandoori platter,mixed-tandoori-platter--ig-DSBNBmKDrZn.jpg,https://www.instagram.com/p/DSBNBmKDrZn/,1080x1350
mixed tandoori platter,mixed-tandoori-platter-2--ig-DP1RzxEDOCz.jpg,https://www.instagram.com/p/DP1RzxEDOCz/,1080x1080
mutton curry,mutton-curry--ig-DWrPMiLj4Y0.jpg,https://www.instagram.com/p/DWrPMiLj4Y0/,1080x1350
mutton dam biryani,mutton-dam-biryani--ig-DPtjcgeDgAx.jpg,https://www.instagram.com/p/DPtjcgeDgAx/,1080x1080
mutton dam biryani,mutton-dam-biryani-2--ig-DNLHkynScWV.jpg,https://www.instagram.com/p/DNLHkynScWV/,1080x1080
mutton karachi biryani,mutton-karachi-biryani--ig-DaEF5NzoGr7.jpg,https://www.instagram.com/p/DaEF5NzoGr7/,1080x1350
mutton karachi biryani,mutton-karachi-biryani-2--ig-DYQGMRkn-xx.jpg,https://www.instagram.com/p/DYQGMRkn-xx/,1080x1350
mutton mandi,mutton-mandi--ig-DMVQoSBqjdM.jpg,https://www.instagram.com/p/DMVQoSBqjdM/,1080x1080
paneer tikka masala,paneer-tikka-masala--ig-DMktbHWxDT7.jpg,https://www.instagram.com/p/DMktbHWxDT7/,1080x1080
qubooli biryani,qubooli-biryani--ig-DI30QJSh81l.jpg,https://www.instagram.com/p/DI30QJSh81l/,1080x1350
red chicken tikka,red-chicken-tikka--ig-DObZ_jQDiH8.jpg,https://www.instagram.com/p/DObZ_jQDiH8/,940x788
red chicken tikka,red-chicken-tikka-2--ig-DMDPF_9tYUC.jpg,https://www.instagram.com/p/DMDPF_9tYUC/,1080x1080
tandoori chicken,tandoori-chicken--ig-DZTSI3QD03L.jpg,https://www.instagram.com/p/DZTSI3QD03L/,1080x1350
tandoori chicken,tandoori-chicken-2--ig-DRnfFMuj48f.jpg,https://www.instagram.com/p/DRnfFMuj48f/,1080x1350
veg manchurian,veg-manchurian--ig-DUB2m3ZDz64.jpg,https://www.instagram.com/p/DUB2m3ZDz64/,1080x1350
veg manchurian,veg-manchurian-2--ig-DSa9v2zDK4_.jpg,https://www.instagram.com/p/DSa9v2zDK4_/,1080x1350
vegetable dam biryani,vegetable-dam-biryani--ig-DND7klmPsBT.jpg,https://www.instagram.com/p/DND7klmPsBT/,1080x1080
vegetable dam biryani,vegetable-dam-biryani-2--ig-DB_nFhlxIZ7.jpg,https://www.instagram.com/p/DB_nFhlxIZ7/,1080x1080
